project_key,budget_code_key,month,row_count,amount
tropical,0000.03-01-025.MAT,2024-06,1,172.02
tropical,0000.03-01-025.MAT,2024-07,1,0.25
tropical,0000.03-01-025.MAT,2024-09,1,547.62
tropical,0000.03-01-025.MAT,2024-10,1,312.51
tropical,0000.03-01-413.LAB,2023-06,1,692.32
tropical,0000.03-01-413.LAB,2023-07,1,3461.6
tropical,0000.03-01-413.LAB,2023-12,1,1453.92
tropical,0000.03-01-413.LAB,2024-06,1,3730.88
tropical,0000.03-01-413.LAB,2024-07,1,13539.7
tropical,0000.03-01-413.LAB,2024-08,1,32160.86
tropical,0000.03-01-413.LAB,2024-09,1,8057.1
tropical,0000.03-01-413.LAB,2024-10,1,36857.49
tropical,0000.03-01-413.LAB,2024-11,1,27406.8
tropical,0000.03-01-413.LBN,2023-06,1,115.63
tropical,0000.03-01-413.LBN,2023-07,1,578.18
tropical,0000.03-01-413.LBN,2023-12,1,279.4
tropical,0000.03-01-413.LBN,2024-06,1,725.81
tropical,0000.03-01-413.LBN,2024-07,1,2741.01
tropical,0000.03-01-413.LBN,2024-08,1,6383.43
tropical,0000.03-01-413.LBN,2024-09,1,1625.07
tropical,0000.03-01-413.LBN,2024-10,1,6230.82
tropical,0000.03-01-413.LBN,2024-11,1,5807.84
tropical,0000.03-01-413.MAT,2023-11,1,65.6
tropical,0000.03-01-413.MAT,2024-06,1,86.08
tropical,0000.03-01-413.MAT,2024-07,1,149.02
tropical,0000.03-01-413.MAT,2024-09,1,925.25
tropical,0000.03-01-413.MAT,2024-10,1,2485.28
tropical,0000.03-01-413.MAT,2024-11,1,472.71
tropical,0000.03-01-413.MAT,2024-12,1,95.05
tropical,1000.10-01-025.MAT,2024-11,1,161.88
tropical,1000.10-01-025.MAT,2024-12,1,112.71
tropical,1000.10-01-025.MAT,2025-01,1,19.84
tropical,1000.10-01-025.MAT,2025-02,1,320.15
tropical,1000.10-01-025.MAT,2025-03,1,2487.73
tropical,1000.10-01-025.MAT,2025-04,1,259.23
tropical,1000.10-01-025.MAT,2025-05,1,0.85
tropical,1000.10-01-025.MAT,2025-06,1,78.47
tropical,1000.10-01-025.MAT,2025-07,1,101.55
tropical,1000.10-01-025.MAT,2025-08,1,165.33
tropical,1000.10-01-025.MAT,2025-09,1,3.0
tropical,1000.10-01-025.MAT,2025-10,1,25.5
tropical,1000.10-01-025.MAT,2025-11,1,1.85
tropical,1000.10-01-025.MAT,2025-12,1,12.5
tropical,1000.10-01-025.MAT,2026-02,1,1.0
tropical,1000.10-01-025.MAT,2026-03,1,24.41
tropical,1000.10-01-025.MAT,2026-05,1,0.25
tropical,1000.10-01-302.LAB,2025-01,1,1371.96
tropical,1000.10-01-302.LAB,2025-02,1,1370.82
tropical,1000.10-01-302.LAB,2025-03,1,1992.4
tropical,1000.10-01-302.LAB,2025-04,1,1394.68
tropical,1000.10-01-302.LAB,2025-05,1,1195.44
tropical,1000.10-01-302.LAB,2025-06,1,597.72
tropical,1000.10-01-302.LAB,2025-07,1,1295.06
tropical,1000.10-01-302.LAB,2025-08,1,805.48
tropical,1000.10-01-302.LAB,2025-09,1,4269.02
tropical,1000.10-01-302.LAB,2025-10,1,1492.83
tropical,1000.10-01-302.LAB,2025-11,1,8452.25
tropical,1000.10-01-302.LAB,2025-12,1,1437.56
tropical,1000.10-01-302.LAB,2026-01,1,230.78
tropical,1000.10-01-302.LAB,2026-02,1,1002.46
tropical,1000.10-01-302.LAB,2026-03,1,134.62
tropical,1000.10-01-302.LAB,2026-04,1,134.62
tropical,1000.10-01-302.LAB,2026-05,1,67.31
tropical,1000.10-01-302.LBN,2025-01,1,308.34
tropical,1000.10-01-302.LBN,2025-02,1,288.13
tropical,1000.10-01-302.LBN,2025-03,1,394.5
tropical,1000.10-01-302.LBN,2025-04,1,276.12
tropical,1000.10-01-302.LBN,2025-05,1,236.67
tropical,1000.10-01-302.LBN,2025-06,1,118.33
tropical,1000.10-01-302.LBN,2025-07,1,256.43
tropical,1000.10-01-302.LBN,2025-08,1,170.46
tropical,1000.10-01-302.LBN,2025-09,1,464.47
tropical,1000.10-01-302.LBN,2025-10,1,295.56
tropical,1000.10-01-302.LBN,2025-11,1,1642.25
tropical,1000.10-01-302.LBN,2025-12,1,280.12
tropical,1000.10-01-302.LBN,2026-01,1,46.42
tropical,1000.10-01-302.LBN,2026-02,1,206.48
tropical,1000.10-01-302.LBN,2026-03,1,26.01
tropical,1000.10-01-302.LBN,2026-04,1,26.01
tropical,1000.10-01-302.LBN,2026-05,1,13.01
tropical,1000.10-01-302.MAT,2025-07,1,28.0
tropical,1000.10-01-302.MAT,2025-08,1,30.8
tropical,1000.10-01-302.MAT,2025-09,1,28.0
tropical,1000.10-01-302.MAT,2025-10,1,28.0
tropical,1000.10-01-302.MAT,2025-12,1,28.0
tropical,1000.10-01-308.LAB,2024-11,1,2740.8
tropical,1000.10-01-308.LAB,2024-12,1,3654.4
tropical,1000.10-01-308.LAB,2025-01,1,4568.0
tropical,1000.10-01-308.LAB,2025-02,1,6443.2
tropical,1000.10-01-308.LAB,2025-03,1,9232.0
tropical,1000.10-01-308.LAB,2025-04,1,9232.0
tropical,1000.10-01-308.LAB,2025-05,1,11540.0
tropical,1000.10-01-308.LAB,2025-06,1,9232.0
tropical,1000.10-01-308.LAB,2025-07,1,9232.0
tropical,1000.10-01-308.LAB,2025-08,1,2500.0
tropical,1000.10-01-308.LAB,2025-11,1,3384.96
tropical,1000.10-01-308.LBN,2024-11,1,524.34
tropical,1000.10-01-308.LBN,2024-12,1,699.2
tropical,1000.10-01-308.LBN,2025-01,1,903.0
tropical,1000.10-01-308.LBN,2025-02,1,1232.8
tropical,1000.10-01-308.LBN,2025-03,1,1766.41
tropical,1000.10-01-308.LBN,2025-04,1,1766.39
tropical,1000.10-01-308.LBN,2025-05,1,2208.0
tropical,1000.10-01-308.LBN,2025-06,1,1766.4
tropical,1000.10-01-308.LBN,2025-07,1,1766.52
