"budget_code_key","cost_code","cost_type","budget_code_description","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11"
"0000.03-01-025.MAT","03-01-025","MAT","CLOSED - DO NOT USE.PLAN COPY EXPENSE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","172.02","0.25","0.00","547.62","312.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0000.03-01-413.LAB","03-01-413","LAB","CLOSED - DO NOT USE.ESTIMATING.Labor","692.32","3461.60","0.00","0.00","0.00","0.00","1453.92","0.00","0.00","0.00","0.00","0.00","3730.88","13539.70","32160.86","8057.10","36857.49","27406.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0000.03-01-413.LBN","03-01-413","LBN","CLOSED - DO NOT USE.ESTIMATING.Labor Burden","115.63","578.18","0.00","0.00","0.00","0.00","279.40","0.00","0.00","0.00","0.00","0.00","725.81","2741.01","6383.43","1625.07","6230.82","5807.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0000.03-01-413.MAT","03-01-413","MAT","CLOSED - DO NOT USE.ESTIMATING.Materials","0.00","0.00","0.00","0.00","0.00","65.60","0.00","0.00","0.00","0.00","0.00","0.00","86.08","149.02","0.00","925.25","2485.28","472.71","95.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-025.MAT","10-01-025","MAT","TROPICAL WORLD NURSERY-CONSTR.PLAN COPY EXPENSE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","161.88","112.71","19.84","320.15","2487.73","259.23","0.85","78.47","101.55","165.33","3.00","25.50","1.85","12.50","0.00","1.00","24.41","0.00","0.25","3.16","4.35","4.97","5.59","6.21","6.84"
"1000.10-01-100.LAB","10-01-100","LAB","TROPICAL WORLD NURSERY-CONSTR.PRECONSTRUCTION.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-302.LAB","10-01-302","LAB","TROPICAL WORLD NURSERY-CONSTR.VDC DIRECTOR.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1371.96","1370.82","1992.40","1394.68","1195.44","597.72","1295.06","805.48","4269.02","1492.83","8452.25","1437.56","230.78","1002.46","134.62","134.62","67.31","393.70","538.24","512.94","525.59","525.59","265.64"
"1000.10-01-302.LBN","10-01-302","LBN","TROPICAL WORLD NURSERY-CONSTR.VDC DIRECTOR.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","308.34","288.13","394.50","276.12","236.67","118.33","256.43","170.46","464.47","295.56","1642.25","280.12","46.42","206.48","26.01","26.01","13.01","7.45","10.00","9.41","10.06","10.30","10.12"
"1000.10-01-302.MAT","10-01-302","MAT","TROPICAL WORLD NURSERY-CONSTR.VDC DIRECTOR.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.00","30.80","28.00","28.00","0.00","28.00","0.00","0.00","0.00","0.00","0.00","12.04","25.81","25.81","25.81","25.81","25.79"
"1000.10-01-308.LAB","10-01-308","LAB","TROPICAL WORLD NURSERY-CONSTR.ASSISTANT PROJECT MANAGER.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2740.80","3654.40","4568.00","6443.20","9232.00","9232.00","11540.00","9232.00","9232.00","2500.00","0.00","0.00","3384.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-308.LBN","10-01-308","LBN","TROPICAL WORLD NURSERY-CONSTR.ASSISTANT PROJECT MANAGER.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","524.34","699.20","903.00","1232.80","1766.41","1766.39","2208.00","1766.40","1766.52","479.64","0.00","0.00","692.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-308.MAT","10-01-308","MAT","TROPICAL WORLD NURSERY-CONSTR.ASSISTANT PROJECT MANAGER.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","790.99","660.99","720.00","0.00","0.00","32.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-310.LAB","10-01-310","LAB","TROPICAL WORLD NURSERY-CONSTR.ACCOUNTING.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","79.34","317.36","729.48","1015.19","1896.94","1357.48","1495.61","2353.57","1645.63","2629.73","1962.26","1400.34","1967.45","2456.08","2029.16","2702.48","2779.70","2309.64","3117.41","2846.32","2981.86","2981.86","2846.31"
