"cost_code","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11"
"03-01-025","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","172.02","0.25","0.00","547.62","312.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"03-01-413","807.95","4039.78","0.00","0.00","0.00","65.60","1733.32","0.00","0.00","0.00","0.00","0.00","4542.77","16429.73","38544.29","10607.42","45573.59","33687.35","95.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-025","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","161.88","112.71","19.84","320.15","2487.73","259.23","0.85","78.47","101.55","165.33","3.00","25.50","1.85","12.50","0.00","1.00","24.41","0.00","0.25","3.16","4.35","4.97","5.59","6.21","6.84"
"10-01-100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1680.30","1658.95","2386.90","1670.80","1432.11","716.05","1579.49","1006.74","4761.49","1816.39","10094.50","1745.68","277.20","1208.94","160.63","160.63","80.32","413.19","574.05","548.16","561.46","561.70","301.55"
"10-01-308","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3265.14","4353.60","5471.00","7676.00","10998.41","11789.38","14408.99","11718.40","10998.52","2979.64","32.90","0.00","4077.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-310","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","94.88","379.52","869.53","1207.92","2257.00","1618.61","1781.33","2801.91","1957.60","3126.85","2333.90","1648.54","2348.97","2927.30","2415.97","3218.65","3316.90","2776.63","3745.69","3412.00","3557.70","3543.61","3369.71"
"10-01-311","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3022.51","9517.96","15721.18","11835.74","12025.81","9086.70","9927.09","7374.08","7447.03","9590.15","10731.43","14629.47","6424.66","7458.08","14429.06","22936.60","18239.07","12325.16","17673.12","13870.73","19057.24","17372.40","18123.22","18062.18","12647.39"
"10-01-312","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1974.98","2273.14","600.00","4448.47","600.00","8803.95","21700.00","16554.96","17428.93","21499.11","17499.42","21450.80","25452.49","28067.18","26160.73","5064.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-314","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74.42","10873.27","27996.56","45118.87","30759.80","35021.12","25138.42","20363.73","14876.27","15894.19","19357.04","18781.10","22378.53","28983.02","33038.48","46316.28","49771.30","47229.66","48599.32","60287.99","46925.01","64609.17","58794.37","61180.56","60833.08","40491.68"
