table_name	column_name	rows	missing	nonblank	missing_pct
procore_ep_billing_periods	parent_record_id	66	66	0	100.0
procore_ep_billing_periods	parent_record_id_hash	66	66	0	100.0
procore_ep_billing_periods	payload_sidecar_json	66	66	0	100.0
procore_ep_budget_change_history	parent_record_id	420	420	0	100.0
procore_ep_budget_change_history	parent_record_id_hash	420	420	0	100.0
procore_ep_budget_change_history	payload_sidecar_json	420	420	0	100.0
procore_ep_budget_detail_columns	visible	399	399	0	100.0
procore_ep_budget_detail_row_cells	currency_iso_code	273951	273951	0	100.0
procore_ep_budget_detail_row_cells	column_id	273951	258385	15566	94.317962
procore_ep_budget_detail_row_cells	column_key	273951	258385	15566	94.317962
procore_ep_budget_detail_row_cells	value_decimal_text	273951	117785	156166	42.994915
procore_ep_budget_detail_rows	actual_cost	3044	3044	0	100.0
procore_ep_budget_detail_rows	cost_type	3044	3044	0	100.0
procore_ep_budget_detail_rows	cost_type_id	3044	3044	0	100.0
procore_ep_budget_detail_rows	line_item_type_id	3044	3044	0	100.0
procore_ep_budget_detail_rows	direct_costs	3044	2522	522	82.851511
procore_ep_budget_detail_rows	erp_direct_costs	3044	2088	956	68.593955
procore_ep_budget_detail_rows	erp_job_to_date_costs	3044	2088	956	68.593955
procore_ep_budget_detail_rows	forecast_to_complete	3044	2000	1044	65.703022
procore_ep_budget_detail_rows	committed_costs	3044	1566	1478	51.445466
procore_ep_budget_detail_rows	pending_budget_changes	3044	1566	1478	51.445466
procore_ep_budget_detail_rows	job_to_date_costs	3044	1478	1566	48.554534
procore_ep_budget_detail_rows	approved_change_orders	3044	522	2522	17.148489
procore_ep_budget_detail_rows	estimated_cost_at_completion	3044	522	2522	17.148489
procore_ep_budget_detail_rows	projected_budget	3044	522	2522	17.148489
procore_ep_budget_detail_rows	projected_costs	3044	522	2522	17.148489
procore_ep_budget_detail_rows	projected_over_under	3044	522	2522	17.148489
procore_ep_budget_detail_rows	revised_budget	3044	522	2522	17.148489
procore_ep_budget_modifications	origin_data	805	805	0	100.0
procore_ep_budget_modifications	origin_id	805	805	0	100.0
procore_ep_budget_modifications	parent_record_id	805	805	0	100.0
procore_ep_budget_modifications	parent_record_id_hash	805	805	0	100.0
procore_ep_budget_modifications	payload_sidecar_json	805	805	0	100.0
procore_ep_budget_modifications	notes	805	44	761	5.465839
