field_name	rows	wide_nonblank_rows	wide_nonblank_pct
actual_cost	3044	0	0.0
approved_change_orders	3044	2522	82.851511
committed_costs	3044	1478	48.554534
direct_costs	3044	522	17.148489
erp_direct_costs	3044	956	31.406045
erp_job_to_date_costs	3044	956	31.406045
estimated_cost_at_completion	3044	2522	82.851511
forecast_to_complete	3044	1044	34.296978
job_to_date_costs	3044	1566	51.445466
original_budget_amount	3044	3044	100.0
pending_budget_changes	3044	1478	48.554534
projected_budget	3044	2522	82.851511
projected_costs	3044	2522	82.851511
projected_over_under	3044	2522	82.851511
revised_budget	3044	2522	82.851511
