endpoint_key,json_path,observed_type,business_category,destination
billing-periods,$,object,other,structural
billing-periods,$.created_at,string,date,column:primary
billing-periods,$.due_date,string,date,column:primary
billing-periods,$.end_date,string,date,column:primary
billing-periods,$.id,integer,identity,column:primary
billing-periods,$.position,integer,other,column:primary
billing-periods,$.project_id,integer,identity,column:primary
billing-periods,$.start_date,string,date,column:primary
billing-periods,$.status,string,status,column:primary
billing-periods,$.updated_at,string,date,column:primary
budget-change-history,$,object,other,structural
budget-change-history,$.budget_code,string,identity,column:primary
budget-change-history,$.column,string,other,column:primary
budget-change-history,$.created_at,string,date,column:primary
budget-change-history,$.created_by,string,person,column:primary
budget-change-history,$.description,string,title,column:primary
budget-change-history,$.new_value,string,money,column:primary
budget-change-history,$.old_value,string,money,column:primary
budget-change-history,$.type,string,other,column:primary
budget-modifications,$,object,other,structural
budget-modifications,$.created_at,string,date,column:primary
budget-modifications,$.from_budget_line_item_id,integer,identity,column:primary
budget-modifications,$.id,integer,identity,column:primary
budget-modifications,$.notes,string,title,column:primary
budget-modifications,$.origin_data,null,other,column:primary
budget-modifications,$.origin_id,null,identity,column:primary
budget-modifications,$.to_budget_line_item_id,integer,identity,column:primary
budget-modifications,$.transfer_amount,string,money,column:primary
budget-modifications,$.updated_at,string,date,column:primary
budget-views,$,object,other,structural
budget-views,$.created_at,string,date,column:primary
budget-views,$.created_by,object,person,structural
budget-views,$.created_by.id,integer,identity,column:primary
budget-views,$.created_by.login,string,person,column:primary
budget-views,$.created_by.name,string,title,column:primary
budget-views,$.description,string,title,column:primary
budget-views,$.id,integer,identity,column:primary
budget-views,$.links,object,other,structural
budget-views,$.links.detail_rows,string,other,sidecar:primary
budget-views,$.links.summary_rows,string,money,column:primary
budget-views,$.name,string,title,column:primary
budget-views,$.role,string,other,column:primary
budget-views,$.updated_at,string,date,column:primary
change-events,$,object,other,structural
change-events,$.attachments,array,attachment,child:procore_ep_change_events_attachments
change-events,$.attachments[],object,attachment,structural
change-events,$.attachments[].filename,string,attachment,column:$.attachments
change-events,$.attachments[].id,integer,identity,column:$.attachments
change-events,$.attachments[].url,string,attachment,column:$.attachments
change-events,$.change_items,array,other,child:procore_ep_change_events_change_items
change-events,$.change_items[],object,other,structural
change-events,$.change_items[].budget_code,object,identity,structural
change-events,$.change_items[].budget_code.description,string,title,column:$.change_items
change-events,$.change_items[].budget_code.flat_code,string,identity,column:$.change_items
change-events,$.change_items[].budget_code.id,integer,identity,column:$.change_items
change-events,$.change_items[].budget_code.segment_items,array,cost_code,child:procore_ep_change_events_change_items_budget_code_seg_2dff22
change-events,$.change_items[].budget_code.segment_items[],object,cost_code,structural
change-events,$.change_items[].budget_code.segment_items[].code,string,identity,column:$.change_items[].budget_code.segment_items
change-events,$.change_items[].budget_code.segment_items[].id,integer,identity,column:$.change_items[].budget_code.segment_items
change-events,$.change_items[].budget_code.segment_items[].name,string,title,column:$.change_items[].budget_code.segment_items
change-events,$.change_items[].budget_code.segment_items[].path_codes,array,cost_code,sidecar:child:$.change_items[].budget_code.segment_items
change-events,$.change_items[].budget_code.segment_items[].path_codes[],string,cost_code,structural
change-events,$.change_items[].budget_code.segment_items[].path_ids,array,cost_code,sidecar:child:$.change_items[].budget_code.segment_items
change-events,$.change_items[].budget_code.segment_items[].path_ids[],integer,cost_code,structural
change-events,$.change_items[].budget_code.segment_items[].segment,object,cost_code,structural
change-events,$.change_items[].budget_code.segment_items[].segment.id,integer,identity,column:$.change_items[].budget_code.segment_items
change-events,$.change_items[].budget_code.segment_items[].segment.name,string,title,column:$.change_items[].budget_code.segment_items
change-events,$.change_items[].budget_code.segment_items[].segment.type,string,other,sidecar:child:$.change_items[].budget_code.segment_items
change-events,$.change_items[].budget_impact,object,money,structural
change-events,$.change_items[].budget_impact.budget_change,null,money,column:$.change_items
change-events,$.change_items[].budget_impact.budget_modification,null,money,column:$.change_items
change-events,$.change_items[].budget_impact.source_of_latest_budget_impact,string,money,column:$.change_items
change-events,$.change_items[].budget_impact.source_of_stage,string,status,column:$.change_items
change-events,$.change_items[].cost_impact,object,money,structural
change-events,$.change_items[].cost_impact.commitment,object,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.commitment.contract_type,string,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.commitment.currency_configuration,object,money,structural
change-events,$.change_items[].cost_impact.commitment.currency_configuration.base_currency_iso_code,null,identity,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.currency_configuration.currency_exchange_rate,null,money,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.currency_configuration.currency_iso_code,null,identity,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.days_in_stage,integer,status,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.id,integer,identity,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.in_status_since,string,status,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.line_item,object,other,structural
change-events,$.change_items[].cost_impact.commitment.line_item.amount,string,money,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.line_item.amount_project_currency,string,money,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.line_item.holder_id,integer,identity,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.line_item.id,integer,identity,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.number,string,identity,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.status,string,status,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.title,string,title,column:$.change_items
change-events,$.change_items[].cost_impact.commitment.type,string,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.contract,object,other,structural
change-events,$.change_items[].cost_impact.contract.confirmed,object,company,column:$.change_items
change-events,$.change_items[].cost_impact.contract.confirmed.contract_type,string,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.contract.confirmed.id,integer,identity,column:$.change_items
change-events,$.change_items[].cost_impact.contract.confirmed.number,string,identity,column:$.change_items
change-events,$.change_items[].cost_impact.contract.confirmed.status,string,status,column:$.change_items
change-events,$.change_items[].cost_impact.contract.confirmed.title,string,title,column:$.change_items
change-events,$.change_items[].cost_impact.contract.proposed,object,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.contract.proposed.contract_type,string,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.contract.proposed.id,integer,identity,column:$.change_items
change-events,$.change_items[].cost_impact.contract.proposed.number,string,identity,column:$.change_items
change-events,$.change_items[].cost_impact.contract.proposed.status,string,status,column:$.change_items
change-events,$.change_items[].cost_impact.contract.proposed.title,string,title,column:$.change_items
change-events,$.change_items[].cost_impact.estimate,object,other,structural
change-events,$.change_items[].cost_impact.estimate.amount,string,money,column:$.change_items
change-events,$.change_items[].cost_impact.estimate.calculation_strategy,string,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.estimate.quantity,string,quantity,column:$.change_items
change-events,$.change_items[].cost_impact.estimate.unit_cost,string,money,column:$.change_items
change-events,$.change_items[].cost_impact.estimate.unit_of_measure,string,quantity,column:$.change_items
change-events,$.change_items[].cost_impact.non_commitment,object,other,structural
change-events,$.change_items[].cost_impact.non_commitment.amount,null,money,column:$.change_items
change-events,$.change_items[].cost_impact.request_for_quote,object,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.request_for_quote.contract_id,integer,identity,column:$.change_items
change-events,$.change_items[].cost_impact.request_for_quote.contract_type,string,other,sidecar:child:$.change_items
change-events,$.change_items[].cost_impact.request_for_quote.currency_configuration,object,money,structural
