activity_id,activity_name,prior_finish,current_finish,prior_remaining_finish,current_remaining_finish,prior_source_float,current_source_float
U13-P3-FIN-100,"OWNER ACCEPTANCE - UNITS UNITS 160-175","2026-09-17 16:00","2026-09-25 16:00",,,-360.0,-408.0
U13-P3-FIN-70,"PUNCH LIST COMPLETION - UNITS 160-175","2026-09-17 16:00","2026-09-25 16:00",,,-360.0,-408.0
U13-P3-FIN-240,"OWNER ACCEPTANCE - CORRIDOR & BOH ROOMS","2026-09-15 16:00","2026-09-23 16:00",,,-344.0,-392.0
U13-P3-FIN-40,"OWNER PUNCH WALK - UNITS 160-175","2026-09-14 16:00","2026-09-22 16:00",,,-360.0,-408.0
U13-P3-FIN-230,"PUNCH LIST COMPLETION - CORRIDOR & BOH ROOMS","2026-09-10 16:00","2026-09-18 16:00",,,-344.0,-392.0
U13-P2CO-60,"PARTIAL TCO APPLICATION, APPROVAL, & ISSUANCE","2026-09-09 16:00","2026-09-15 16:00",,,-528.0,-560.0
U13-P3-FIN-10,"GC COMPLETION - UNITS 160-175","2026-09-04 16:00","2026-09-15 16:00",,,-552.0,-624.0
U13-P2-FIN-130,"OWNER ACCEPTANCE - UNITS UNITS 238-259","2026-09-08 16:00","2026-09-11 16:00",,,-520.0,-544.0
U13-P3-FIN-220,"OWNER PUNCH WALK - CORRIDOR & BOH ROOMS","2026-09-02 16:00","2026-09-11 16:00",,,-344.0,-392.0
U13-P3-FIN-110,"OWNER ACCEPTANCE - UNITS UNITS 260-275","2026-09-01 16:00","2026-09-10 16:00",,,-272.0,-320.0
U13-P3-FIN-80,"PUNCH LIST COMPLETION - UNITS 260-275","2026-09-01 16:00","2026-09-10 16:00",,,-272.0,-320.0
P2-FINBLDG,"FINAL BUILDING INSPECTIONS FOR PHASE III 46 UNITS TURNOVER","2026-08-19 16:00","2026-09-09 16:00",,,-424.0,-536.0
U13-P2-FIN-110,"PUNCH LIST COMPLETION - UNITS 238-259","2026-09-02 16:00","2026-09-08 16:00",,,-520.0,-544.0
U13-P3-FIN-120,"OWNER ACCEPTANCE - UNITS 360-375","2026-08-28 16:00","2026-09-08 16:00",,,-256.0,-304.0
U13-P3-FIN-210,"GC COMPLETION - CORRIDOR & BOH ROOMS","2026-08-28 16:00","2026-09-08 16:00",,,-344.0,-392.0
U13-P3-FIN-280,"OWNER ACCEPTANCE - CORRIDOR & BOH ROOMS","2026-08-28 16:00","2026-09-08 16:00",,,-256.0,-304.0
U13-P3-FIN-90,"PUNCH LIST COMPLETION - UNITS 360-375","2026-08-28 16:00","2026-09-08 16:00",,,-256.0,-304.0
P1B-01U-FIN-270,"OWNER ACCEPTANCE / TURNOVER UNITS","2026-08-27 16:00","2026-09-04 16:00",,,-552.0,-600.0
U13-P3-FIN-50,"OWNER PUNCH WALK - UNITS 260-275","2026-08-27 16:00","2026-09-04 16:00",,,-272.0,-320.0
P1B-01U-FIN-260,"OWNER PUNCH UNITS","2026-08-26 16:00","2026-09-03 16:00",,,-552.0,-600.0
