activity_id,activity_name,prior_finish,current_finish,prior_source_float,current_source_float,source_float_delta
U13-2NDFLELECRM-40,"TEMP FOR TEST FOR SECOND FLOOR ELEC RM # 2NE-ELE IDF","2026-07-09 16:00","2026-06-26 16:00",640.0,-432.0,-1072.0
U13-2NDFLELECRM-50,"TEMP FOR TEST FOR SECOND FLOOR ELEC RM # 2NW-ELE IDF","2026-07-13 16:00","2026-06-26 16:00",640.0,-432.0,-1072.0
U13-2NDFLELECRM-60,"TEMP FOR TEST FOR SECOND FLOOR ELEC RM # 2SE-ELE IDF","2026-07-07 16:00","2026-06-26 16:00",640.0,-432.0,-1072.0
U13-2NDFLELECRM-70,"TEMP FOR TEST FOR SECOND FLOOR ELEC RM # 2SW-ELE IDF","2026-07-02 16:00","2026-06-26 16:00",640.0,-432.0,-1072.0
P1A-03U-FIN-190,"LOW VOLTAGE TRIM","2026-06-11 16:00","2026-07-08 16:00",-152.0,-544.0,-392.0
P1A-03U-FIN-300,"INSTALL MIRRORS","2026-06-11 16:00","2026-07-08 16:00",-192.0,-544.0,-352.0
P1A-EAST-A-70,"BUILDING EXTERIOR LIGHTS - East Elev.","2026-06-17 16:00","2026-08-18 16:00",-152.0,-496.0,-344.0
P1A-SOUTH-A-70,"BUILDING EXTERIOR LIGHTS - South Elev.","2026-06-10 16:00","2026-08-04 16:00",-152.0,-496.0,-344.0
P1A-WEST-A/B-70,"BUILDING EXTERIOR LIGHTS","2026-06-05 16:00","2026-07-21 16:00",-152.0,-496.0,-344.0
FAB/DEL-10,"FAB/DEL EXTERIOR LIGHT FIXTURES","2026-05-29 16:00","2026-07-10 16:00",-216.0,-536.0,-320.0
P1A-02U-FIN-125,"INSTALL MAJOR APPLIANCES","2026-06-17 16:00","2026-07-02 16:00",-184.0,-504.0,-320.0
P1A-NORTH-B/C1-50,"BUILDING EXTERIOR LIGHTS","2026-06-05 16:00","2026-07-21 16:00",-216.0,-536.0,-320.0
P2-EAST-D1/2-50,"BUILDING EXTERIOR LIGHTS","2026-06-22 16:00","2026-08-18 16:00",-216.0,-536.0,-320.0
P2-NORTH-D1/2-50,"BUILDING EXTERIOR LIGHTS","2026-06-17 16:00","2026-08-04 16:00",-216.0,-536.0,-320.0
P2-NWECY-D1/2-60,"BUILDING EXTERIOR LIGHTS","2026-06-10 16:00","2026-07-21 16:00",-216.0,-536.0,-320.0
P1A-02U-FIN-170,"PLUMBING TRIM / MINOR APPLIANCES","2026-06-22 16:00","2026-07-07 16:00",-208.0,-520.0,-312.0
P1A-EAST-C1-50,"BUILDING EXTERIOR LIGHTS - (MODIFIED FROM SECTOR C1 TO A)","2026-06-09 16:00","2026-08-04 16:00",-104.0,-416.0,-312.0
P1A-SOUTH-C1/B-50,"BUILDING EXTERIOR LIGHTS - (MODIFIED FROM SECTOR C1 TO A)","2026-06-05 16:00","2026-07-21 16:00",-104.0,-416.0,-312.0
P1A-02U-FIN-140,"FIRE SPRINKLER TRIM","2026-06-19 16:00","2026-07-07 16:00",-240.0,-520.0,-280.0
P1A-02U-FIN-300,"INSTALL MIRRORS","2026-06-19 16:00","2026-07-07 16:00",-240.0,-520.0,-280.0
U14-PCY-S-60,"BUILDING EXTERIOR LIGHTS","2026-06-15 16:00","2026-08-04 16:00",-136.0,-416.0,-280.0
P1A-02U-FIN-190,"LOW VOLTAGE TRIM","2026-06-19 16:00","2026-07-07 16:00",-256.0,-520.0,-264.0
P1B-NORTH-C2-60,"BUILDING EXTERIOR LIGHTS","2026-06-03 16:00","2026-07-21 16:00",-72.0,-336.0,-264.0
P1B-WEST-C2-60,"BUILDING EXTERIOR LIGHTS","2026-06-03 16:00","2026-07-21 16:00",-72.0,-336.0,-264.0
P1A-03U-FIN-100,"INSTALL CLOSET SHELVING","2026-06-22 16:00","2026-07-08 16:00",-288.0,-544.0,-256.0
P1A-03U-FIN-200,"ELECTRICAL / FA TRIM","2026-06-29 16:00","2026-07-08 16:00",-288.0,-544.0,-256.0
P1A-03U-FIN-210,"ROUGH CLEAN","2026-07-09 16:00","2026-07-10 16:00",-288.0,-544.0,-256.0
P1A-03U-FIN-290,"INSTALL DOOR HARDWARE","2026-07-07 16:00","2026-07-08 16:00",-288.0,-544.0,-256.0
FAB/DEL-240,"OWNER FAB/DEL IDENTIFICATION SIGNS","2026-05-29 16:00","2026-07-10 16:00",-152.0,-384.0,-232.0
SITEDEV-S-75,"LANDSCAPING SOUTH","2026-06-24 16:00","2026-06-30 16:00",-208.0,-440.0,-232.0
P2-EAST-D1/2-70,GUTTERS,"2026-07-16 16:00","2026-08-25 16:00",-312.0,-536.0,-224.0
P1A-02U-FIN-210,"ROUGH CLEAN","2026-07-13 16:00","2026-07-09 16:00",-304.0,-520.0,-216.0
P1A-02U-FIN-290,"INSTALL DOOR HARDWARE","2026-07-09 16:00","2026-07-07 16:00",-304.0,-520.0,-216.0
P1A-02U-FIN-100,"INSTALL CLOSET SHELVING","2026-06-24 16:00","2026-07-07 16:00",-328.0,-520.0,-192.0
