crosswalk_id,project_key,mapping_version,owner_sov_code,owner_cost_code_family,owner_scope_description,owner_description_match_rule,scope_relationship,coverage_type,comparison_level,allocation_required,allocation_method,allocation_percent_by_budget_code,covered_budget_code_key_patterns,covered_budget_code_keys,covered_budget_code_exclusion_patterns,covered_budget_code_exclusions,covered_procore_wbs_flat_code_patterns,covered_procore_wbs_flat_codes,covered_procore_wbs_flat_code_exclusion_patterns,covered_procore_wbs_flat_code_exclusions,covered_procore_or_budget_code_values,comparison_basis,confidence,approved_by,approved_date,notes
TROPICAL-OWNER-SOV-0001,tropical,2026-06-v1,10-XX-XXX,10-XX,Non-General Requirements owner summary scope,description != GENERAL REQUIREMENTS,one_to_many,summary_parent,owner_scope_rollup,False,not_allocated_compare_at_rollup,,"[""0000.03-*""]","[""0000.03-01-025.MAT"", ""0000.03-01-413.LAB"", ""0000.03-01-413.LBN"", ""0000.03-01-413.MAT"", ""1000.10-01-100.LAB"", ""1000.10-01-302.LAB"", ""1000.10-01-302.LBN"", ""1000.10-01-302.MAT"", ""1000.10-01-308.LAB"", ""1000.10-01-308.LBN"", ""1000.10-01-308.MAT"", ""1000.10-01-310.LAB"", ""1000.10-01-310.LBN"", ""1000.10-01-311.LAB"", ""1000.10-01-311.LBN"", ""1000.10-01-311.MAT"", ""1000.10-01-312.LAB"", ""1000.10-01-312.LBN"", ""1000.10-01-312.MAT"", ""1000.10-01-314.LAB"", ""1000.10-01-314.LBN"", ""1000.10-01-314.MAT"", ""1000.10-01-315.LAB"", ""1000.10-01-315.LBN"", ""1000.10-01-315.MAT"", ""1000.10-01-317.LAB"", ""1000.10-01-317.LBN"", ""1000.10-01-317.MAT"", ""1000.10-01-318.LAB"", ""1000.10-01-318.LBN"", ""1000.10-01-318.MAT"", ""1000.10-01-460.LAB"", ""1000.10-01-460.LBN"", ""1000.10-01-460.MAT""]",[],,"[""0000.03-*""]",[],[],,"[""0000.03-01-025.MAT"", ""0000.03-01-413.LAB"", ""0000.03-01-413.LBN"", ""0000.03-01-413.MAT"", ""1000.10-01-100.LAB"", ""1000.10-01-302.LAB"", ""1000.10-01-302.LBN"", ""1000.10-01-302.MAT"", ""1000.10-01-308.LAB"", ""1000.10-01-308.LBN"", ""1000.10-01-308.MAT"", ""1000.10-01-310.LAB"", ""1000.10-01-310.LBN"", ""1000.10-01-311.LAB"", ""1000.10-01-311.LBN"", ""1000.10-01-311.MAT"", ""1000.10-01-312.LAB"", ""1000.10-01-312.LBN"", ""1000.10-01-312.MAT"", ""1000.10-01-314.LAB"", ""1000.10-01-314.LBN"", ""1000.10-01-314.MAT"", ""1000.10-01-315.LAB"", ""1000.10-01-315.LBN"", ""1000.10-01-315.MAT"", ""1000.10-01-317.LAB"", ""1000.10-01-317.LBN"", ""1000.10-01-317.MAT"", ""1000.10-01-318.LAB"", ""1000.10-01-318.LBN"", ""1000.10-01-318.MAT"", ""1000.10-01-460.LAB"", ""1000.10-01-460.LBN"", ""1000.10-01-460.MAT""]",owner_scope_rollup_sell_value_vs_cost_caution,authoritative_user_provided,Bobby Fetting,2026-06-14,Owner code 10-XX-XXX covers all 0000.03-* values plus listed 1000.10-01 labor/labor-burden/material codes.
TROPICAL-OWNER-SOV-0002,tropical,2026-06-v1,10-XX-XXX,10-XX,GENERAL REQUIREMENTS,description == GENERAL REQUIREMENTS,one_to_many,summary_parent,owner_scope_rollup,False,not_allocated_compare_at_rollup,,"[""1000.10-*""]","[""1000.10-01-025.MAT"", ""1000.10-01-340.MAT"", ""1000.10-01-422.MAT"", ""1000.10-01-500.MAT"", ""1000.10-01-505.MAT"", ""1000.10-01-513.MAT"", ""1000.10-01-517.MAT"", ""1000.10-01-520.MAT"", ""1000.10-01-521.MAT"", ""1000.10-01-522.MAT"", ""1000.10-01-523.MAT"", ""1000.10-01-531.MAT"", ""1000.10-01-532.MAT"", ""1000.10-01-533.MAT"", ""1000.10-01-534.MAT"", ""1000.10-01-544.MAT"", ""1000.10-01-552.MAT"", ""1000.10-01-565.MAT"", ""1000.10-01-568.MAT"", ""1000.10-01-600.MAT"", ""1000.10-01-612.MAT"", ""1000.10-01-743.MAT"", ""1000.10-01-870.MAT"", ""1000.10-01-871.MAT""]","[""explicit non-General Requirements 1000.10-01 list""]",,"[""1000.10-*""]",[],"[""explicit non-General Requirements 1000.10-01 list""]",,"[""1000.10-01-025.MAT"", ""1000.10-01-340.MAT"", ""1000.10-01-422.MAT"", ""1000.10-01-500.MAT"", ""1000.10-01-505.MAT"", ""1000.10-01-513.MAT"", ""1000.10-01-517.MAT"", ""1000.10-01-520.MAT"", ""1000.10-01-521.MAT"", ""1000.10-01-522.MAT"", ""1000.10-01-523.MAT"", ""1000.10-01-531.MAT"", ""1000.10-01-532.MAT"", ""1000.10-01-533.MAT"", ""1000.10-01-534.MAT"", ""1000.10-01-544.MAT"", ""1000.10-01-552.MAT"", ""1000.10-01-565.MAT"", ""1000.10-01-568.MAT"", ""1000.10-01-600.MAT"", ""1000.10-01-612.MAT"", ""1000.10-01-743.MAT"", ""1000.10-01-870.MAT"", ""1000.10-01-871.MAT""]",owner_scope_rollup_sell_value_vs_cost_caution,authoritative_user_provided,Bobby Fetting,2026-06-14,Owner code 10-XX-XXX with GENERAL REQUIREMENTS description covers all remaining 1000.10-* values not assigned to the non-General Requirements row.
TROPICAL-OWNER-SOV-0003,tropical,2026-06-v1,15-01-426,15-01,Owner SOV code 15-01-426 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-01-426,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-01-426.MAT"": ""100.00""}",[],"[""1000.15-01-426.MAT""]",[],,[],[],[],,"[""1000.15-01-426.MAT""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-01-426.*; grouped under owner SOV code 15-01-426.
TROPICAL-OWNER-SOV-0004,tropical,2026-06-v1,15-01-530,15-01,Owner SOV code 15-01-530 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-01-530,any,one_to_many,same_cost_code_multi_category,cost_code_rollup,False,not_allocated_compare_at_rollup,,[],"[""1000.15-01-530.LAB"", ""1000.15-01-530.LBN"", ""1000.15-01-530.MAT"", ""1000.15-01-530.SUB""]",[],,[],[],[],,"[""1000.15-01-530.LAB"", ""1000.15-01-530.LBN"", ""1000.15-01-530.MAT"", ""1000.15-01-530.SUB""]",owner_scope_rollup_sell_value_vs_cost_caution,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-01-530.*; grouped under owner SOV code 15-01-530.
TROPICAL-OWNER-SOV-0005,tropical,2026-06-v1,15-01-XXX,15-01,Owner summary/control code for 15-01 scope excluding SURVEY and TEMP LABOR,any,one_to_many,summary_parent,owner_scope_rollup,False,not_allocated_compare_at_rollup,,"[""1000.15-01-*""]","[""1000.15-01-460.MAT"", ""1000.15-01-515.SUB"", ""1000.15-01-555.MAT"", ""1000.15-01-560.MAT"", ""1000.15-01-741.MAT"", ""1000.15-01-743.MAT"", ""1000.15-01-744.LAB"", ""1000.15-01-744.LBN"", ""1000.15-01-744.MAT"", ""1000.15-01-745.MAT""]","[""1000.15-01-426*"", ""1000.15-01-530*""]",,"[""1000.15-01-*""]","[""1000.15-01-741.MAT""]","[""1000.15-01-426*"", ""1000.15-01-530*""]",,"[""1000.15-01-460.MAT"", ""1000.15-01-515.SUB"", ""1000.15-01-555.MAT"", ""1000.15-01-560.MAT"", ""1000.15-01-741.MAT"", ""1000.15-01-743.MAT"", ""1000.15-01-744.LAB"", ""1000.15-01-744.LBN"", ""1000.15-01-744.MAT"", ""1000.15-01-745.MAT""]",owner_scope_rollup_sell_value_vs_cost_caution,authoritative_user_provided,Bobby Fetting,2026-06-14,"Owner code 15-01-XXX covers all 1000.15-01-* values except 1000.15-01-426* and 1000.15-01-530*, which are mapped separately."
TROPICAL-OWNER-SOV-0006,tropical,2026-06-v1,15-02-010,15-02,Owner SOV code 15-02-010 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-02-010,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-02-010.SUB"": ""100.00""}",[],"[""1000.15-02-010.SUB""]",[],,[],"[""1000.15-02-010.SUB""]",[],,"[""1000.15-02-010.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-02-010.*; grouped under owner SOV code 15-02-010.
TROPICAL-OWNER-SOV-0007,tropical,2026-06-v1,15-02-510,15-02,Owner SOV code 15-02-510 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-02-510,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-02-510.MAT"": ""100.00""}",[],"[""1000.15-02-510.MAT""]",[],,[],[],[],,"[""1000.15-02-510.MAT""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-02-510.*; grouped under owner SOV code 15-02-510.
TROPICAL-OWNER-SOV-0008,tropical,2026-06-v1,15-02-805,15-02,Owner SOV code 15-02-805 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-02-805,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-02-805.SUB"": ""100.00""}",[],"[""1000.15-02-805.SUB""]",[],,[],"[""1000.15-02-805.SUB""]",[],,"[""1000.15-02-805.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-02-805.*; grouped under owner SOV code 15-02-805.
TROPICAL-OWNER-SOV-0009,tropical,2026-06-v1,15-02-808,15-02,Owner SOV code 15-02-808 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-02-808,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-02-808.SUB"": ""100.00""}",[],"[""1000.15-02-808.SUB""]",[],,[],"[""1000.15-02-808.SUB""]",[],,"[""1000.15-02-808.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-02-808.*; grouped under owner SOV code 15-02-808.
TROPICAL-OWNER-SOV-0010,tropical,2026-06-v1,15-03-010,15-03,Owner SOV code 15-03-010 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-03-010,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-03-010.SUB"": ""100.00""}",[],"[""1000.15-03-010.SUB""]",[],,[],"[""1000.15-03-010.SUB""]",[],,"[""1000.15-03-010.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-03-010.*; grouped under owner SOV code 15-03-010.
TROPICAL-OWNER-SOV-0011,tropical,2026-06-v1,15-04-400,15-04,Owner SOV code 15-04-400 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-04-400,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-04-400.SUB"": ""100.00""}",[],"[""1000.15-04-400.SUB""]",[],,[],"[""1000.15-04-400.SUB""]",[],,"[""1000.15-04-400.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-04-400.*; grouped under owner SOV code 15-04-400.
TROPICAL-OWNER-SOV-0012,tropical,2026-06-v1,15-05-522,15-05,Owner SOV code 15-05-522 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-05-522,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-05-522.SUB"": ""100.00""}",[],"[""1000.15-05-522.SUB""]",[],,[],"[""1000.15-05-522.SUB""]",[],,"[""1000.15-05-522.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-05-522.*; grouped under owner SOV code 15-05-522.
TROPICAL-OWNER-SOV-0013,tropical,2026-06-v1,15-05-910,15-05,Owner SOV code 15-05-910 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-05-910,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-05-910.SUB"": ""100.00""}",[],"[""1000.15-05-910.SUB""]",[],,[],"[""1000.15-05-910.SUB""]",[],,"[""1000.15-05-910.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-05-910.*; grouped under owner SOV code 15-05-910.
